Generation, Average Score
349, 39.933860
350, 40.651489
351, 42.118265
352, 42.163433
353, 42.960934
354, 42.927859
355, 43.590429
356, 43.842904
357, 44.781329
358, 44.324363
359, 44.358744
360, 40.151237
361, 46.360262
362, 47.408453
363, 50.839085
364, 51.880691
365, 52.047857
366, 53.585829
367, 52.106958
368, 54.508970
369, 54.905040
370, 49.569750
371, 54.494848
372, 53.357798
373, 52.430378
374, 55.151104
375, 53.813711
376, 51.978137
377, 53.184081
378, 54.645341
379, 54.116853
380, 54.626469
381, 55.256765
382, 52.433218
383, 55.555132
384, 52.222851
385, 55.732079
386, 54.705471
387, 50.404555
388, 56.028646
389, 54.707986
390, 54.095780
391, 54.879558
392, 56.507396
393, 55.962024
394, 56.693870
395, 56.286539
396, 56.729515
397, 56.218895
398, 57.578789
399, 57.726988
400, 57.108120
401, 53.766581
402, 58.351116
403, 57.476361
404, 56.866664
405, 58.128167
406, 58.161632
407, 55.227016
408, 58.691270
409, 56.442663
410, 56.592627
411, 56.861726
412, 59.112067
413, 57.606621
414, 60.481166
415, 60.623012
416, 59.403930
417, 63.402339
418, 61.107873
419, 62.903479
420, 61.360385
421, 63.290654
422, 64.103707
423, 63.287387
424, 63.804574
425, 63.980896
426, 62.293359
427, 62.703584
428, 62.135636
429, 64.767406
430, 65.572174
431, 65.255322
432, 65.908003
433, 62.599380
434, 59.337894
435, 65.129629
436, 65.673196
437, 66.200432
438, 66.406004
439, 63.784810
440, 65.897148
441, 67.509221
442, 70.143092
443, 70.234881
444, 70.419399
445, 72.148994
446, 69.610790
447, 71.295608
448, 74.769606
449, 76.921846
450, 80.177818
451, 81.126078
452, 79.818161
453, 83.723182
454, 81.951282
455, 83.955813
456, 86.359758
457, 85.214748
458, 85.111897
459, 85.101419
460, 85.728664
461, 87.121987
462, 86.804670
463, 87.528497
464, 84.814385
465, 88.612894
466, 91.554929
467, 91.888099
468, 91.453781
469, 93.093588
470, 96.157236
471, 97.671872
472, 102.009119
473, 101.343391
474, 100.783584
475, 101.904886
476, 99.291799
477, 104.423718
478, 104.973037
479, 103.986330
480, 105.887363
481, 107.120474
482, 108.790155
483, 105.151952
484, 110.403020
485, 114.148430
486, 118.973334
487, 121.066833
